time,max,min
2020-04-02,15.675,13.9
2020-04-03,14.9,14.3
2020-04-04,18.299999999999997,14.825000000000001
2020-04-05,22.15,18.725
2020-04-06,22.85,19.200000000000003
2020-04-07,24.125,18.825
2020-04-08,27.033333666666667,20.35
2020-04-09,24.75,20.85
2020-04-10,21.333333333333332,18.325
2020-04-11,18.475,15.875
2020-04-12,16.875,12.275
2020-04-13,20.9,14.15
2020-04-14,22.666666666666668,18.2
2020-04-15,25.133333333333336,18.549999999999997
2020-04-16,27.166666666666668,20.933333333333334
2020-04-17,27.066666666666666,22.23333333333333
2020-04-18,22.2,19.049999999999997
2020-04-19,21.95,18.1
2020-04-20,20.025,17.775
2020-04-21,17.849999999999998,16.875
2020-04-22,19.975,16.85
2020-04-23,19.1,17.849999999999998
2020-04-24,22.4,16.775
2020-04-25,23.475,17.925
2020-04-26,26.433333333333334,20.233333333333334
2020-04-27,27.53333333333333,20.2
2020-04-28,26.8,21.599999999999998
2020-04-29,28.96666666666667,22.133333333333336
2020-04-30,28.099999999999998,24.833333333333332
2020-05-01,22.733333333333334,17.400000000000002
2020-05-02,24.766666666666666,20.333333333333332
2020-05-03,26.366666666666664,20.8
2020-05-04,27.433333333333334,23.366666666666664
2020-05-05,29.53333333333333,24.100000000000005
2020-05-06,25.2,24.333333333333332
2020-05-07,28.8,24.833333333333332
2020-05-08,28.033333666666667,26.966667
2020-05-09,24.35,22.950000000000003
2020-05-10,23.46666666666667,20.666666666666668
2020-05-11,25.7,21.166666666666668
2020-05-12,23.666666666666668,17.900000000000002
2020-05-13,27.76666666666667,22.3
2020-05-14,25.733333333333334,23.400000000000002
2020-05-15,25.03333333333333,22.766666666666666
2020-05-16,26.633333333333336,23.266666666666666
2020-05-17,28.400000000000002,24.866666666666664
2020-05-18,29.600000000000005,25.400000000000002
2020-05-19,30.63333333333333,23.633333333333336
2020-05-20,28.066666666666666,25.433333333333337
2020-05-21,25.46666666666667,23.96666666666667
2020-05-22,28.366666666666664,23.46666666666667
2020-05-23,32.2,23.95
2020-05-24,31.0,25.15
2020-05-25,27.666666666666668,22.666666666666668
2020-05-26,27.433333333333334,22.266666666666666
2020-05-27,28.066666666666663,24.666666666666668
2020-05-28,29.200000000000003,24.933333333333334
2020-05-29,27.433333333333337,24.166666666666668
2020-05-30,29.166666666666668,24.0
2020-05-31,27.333333333333332,25.46666666666667
2020-06-01,22.933333333333334,16.8
2020-06-02,23.633333333333336,20.333333333333332
2020-06-03,24.03333333333333,21.366666666666664
2020-06-04,26.86666666666667,23.0
2020-06-05,27.133333333333336,25.433333333333334
2020-06-06,31.73333366666667,25.866666666666664
2020-06-07,32.0,28.266666666666666
2020-06-08,32.066667,29.333333333333332
2020-06-09,30.65,28.05
2020-06-10,24.2,22.96666666666667
2020-06-11,29.233333666666667,24.53333333333333
2020-06-12,27.766667333333334,22.899999999999995
2020-06-13,33.80000066666667,30.066666666666666
2020-06-14,32.50000033333333,29.73333333333333
2020-06-15,35.400000666666664,29.666666666666668
2020-06-16,35.83333433333333,30.666666666666668
2020-06-17,36.63333433333333,31.0
2020-06-18,32.666666666666664,27.333333333333332
2020-06-19,27.400000000000002,26.233333333333334
2020-06-20,32.23333366666667,25.900000000000002
2020-06-21,31.599999999999998,27.7
2020-06-22,29.666666666666668,27.0
2020-06-23,27.166666666666668,25.900000000000002
2020-06-24,27.066666666666666,25.833333333333332
2020-06-25,30.866666666666664,26.3
2020-06-26,30.566666666666663,28.099999999999998
2020-06-27,32.73333366666667,28.399999999999995
2020-06-28,33.00000033333333,30.333333333333332
2020-06-29,31.566666666666666,28.7
2020-06-30,29.100000000000005,28.03333333333333
2020-07-01,24.7,21.96666666666667
2020-07-02,24.23333333333333,21.933333333333334
2020-07-03,25.133333333333336,22.933333333333334
2020-07-04,28.866666666666664,24.333333333333332
2020-07-05,30.166666666666668,26.05
2020-07-06,31.599999999999998,29.733333333333334
2020-07-07,32.62500025,30.450000000000003
2020-07-08,31.3,29.05
2020-07-09,29.125,27.15
2020-07-10,26.575000000000003,25.025000000000002
2020-07-11,30.10000025,26.15
2020-07-12,26.65,24.5
2020-07-13,29.525000000000002,27.675
2020-07-14,33.3750005,27.75
2020-07-15,32.72500025,29.425
2020-07-16,31.975,28.8
2020-07-17,34.0000005,29.400000000000002
2020-07-18,34.86666733333333,31.25
2020-07-19,31.3,27.5
2020-07-20,28.425,26.525000000000002
2020-07-21,32.6250005,27.400000000000002
2020-07-22,34.933334,29.666666666666668
2020-07-23,35.66666766666666,30.666666666666668
2020-07-24,35.66666766666666,31.400000000000002
2020-07-25,33.666667333333336,30.566666666666663
2020-07-26,33.26666733333334,30.233333333333334
2020-07-27,30.266666666666666,28.5
2020-07-28,31.175,28.549999999999997
2020-07-29,33.46666733333333,29.075000000000003
2020-07-30,33.32500025,30.125
2020-07-31,35.26666766666667,29.675
2020-08-01,28.666667333333333,24.133333333333336
2020-08-02,28.033333999999996,23.900000000000002
2020-08-03,30.06666733333334,26.3
2020-08-04,31.433334000000002,27.03333333333333
2020-08-05,32.16666733333333,28.25
2020-08-06,33.76666733333334,30.7
2020-08-07,33.46666733333333,30.566666666666666
2020-08-08,35.83333433333333,32.46666666666667
2020-08-09,34.46666733333333,31.0
2020-08-10,29.225,27.5
2020-08-11,30.57500025,27.675
2020-08-12,29.12500075,26.325000000000003
2020-08-13,35.375001,31.65
2020-08-14,35.400001,31.724999999999998
2020-08-15,35.750001,32.05
2020-08-16,35.750001,32.55
2020-08-17,35.625001,31.150000000000002
2020-08-18,35.350001,31.625
2020-08-19,35.050001,31.7
2020-08-20,35.36666766666667,32.0
2020-08-21,33.5,31.133333333333336
2020-08-22,33.800000499999996,30.5
2020-08-23,34.975001,31.166666666666668
2020-08-24,35.866667666666665,32.25
2020-08-25,33.825001,30.25
2020-08-26,32.85000025,29.175
2020-08-27,33.866667,29.325
2020-08-28,33.700001,30.1
2020-08-29,33.733334,30.65
